Name,Age,Gender,Breed,Description,Image_URL,Adoption_URL,sizes,urls
Kobe,82 Months,Male,Mixed Breed (Medium)/Mix,"Kobe is one of those dogs everyone falls in love with. He’s the absolute nicest boy; gentle, affectionate, and so well-behaved both at the shelter and in his foster home. Kobe loves his toys, loves his people, and especially loves to cuddle (he’ll do his best to fit on your lap, no matter the size!). He’s been with us for quite some time now, and while we adore him, he truly deserves a loving home of his own. Kobe has made a few doggy friends and would make a great furry sibling to a well-matched pup. If you’re looking for a dog who’s as sweet as they come and ready to fill your life with love, Kobe’s your guy. If this animal is located at our Manhattan Adoption Center, head in to meet them and see if you are a match! We are a same-day adoption center, and an application does not put you on a list or hold an animal for you. If they are in Wantagh or in a foster home, please submit an online application and our team will reach out to further discuss the adoption process. Prior to adoption, all of our animals are spayed/neutered, microchipped, and given their age-appropriate vaccines.",https://new-s3.shelterluv.com/profile-pictures/1f59288f55b1503b8def887d9c999cf7/58d22a0da89fd490f4144580a088b1e3.jpeg,https://www.shelterluv.com/matchme/adopt/WEE-A-8097,Medium (20-59),https://www.bideawee.org/adopt-pet/kobe/24379706
Elvis,33 Months,Male,Mixed Breed (Small),"Elvis has come a long way. When he first arrived, he was extremely fearful and unsure of the world around him. Thanks to the patience and kindness of his foster family, he’s made wonderful progress and is learning that life can be pretty great. He gets along well with everyone in the household and is slowly discovering the joy of being loved. Elvis still takes a little time to warm up, but once he does, his sweet, gentle personality shines through. He’s looking for a patient adopter who will give him the love, understanding, and time he needs to feel safe, and in return, he’ll give you all the trust and loyalty he’s been saving up. If this animal is located at our Manhattan Adoption Center, head in to meet them and see if you are a match! We are a same-day adoption center, and an application does not put you on a list or hold an animal for you. If they are in Wantagh or in a foster home, please submit an online application and our team will reach out to further discuss the adoption process. Prior to adoption, all of our animals are spayed/neutered, microchipped, and given their age-appropriate vaccines.",https://new-s3.shelterluv.com/profile-pictures/4448b45570ac03e2efabe4053e721c53/f704aafbb0faf17260e25823c7997e5d.jpeg,https://www.shelterluv.com/matchme/adopt/WEE-A-64068,Small (0-24),https://www.bideawee.org/adopt-pet/elvis/210464583
Kirsten,37 Months,Female,Mixed Breed (Medium)/None,"Sweet Kirsten has traveled a long way from Tennessee in search of a quiet, patient forever home where she can truly feel safe and loved. This little girl has a gentle soul and a heart full of potential—she’s just waiting for the right person (and dog) to help her shine.  Kirsten is very shy and nervous around new people and unfamiliar environments. But don’t let that stop you from meeting her—because once she feels secure, especially in the company of another well-matched, confident dog, her personality begins to blossom. In fact, she thrives when she has a calm canine companion to show her the ropes and help her feel at ease.  She’s not the type of pup to jump into your arms on day one, but if you’re the kind of person who understands the beauty of slow trust and quiet milestones, Kirsten might just be your perfect match. Every tail wag, every curious glance, every moment of bravery—those are her love letters to you.  Kirsten would do best in a peaceful home with another friendly dog and adults who understand how to give her the space and time she needs to come out of her shell.  If you believe in second chances, gentle patience, and the magic of watching a scared dog learn to feel safe, Kirsten is ready to start that journey—with you.  This cutie resides at our Wantagh location and meetings are by appointment only. If you are interested in meeting them, you must click ""Apply for Adoption"" to submit an online application. If you're viewing this animal on Petfinder, please visit the animal's page on Bideawee.org and click on the ""Apply for Adoption"" button to submit an adoption application. Once we receive your application, we will be in touch to schedule an appointment to meet them! Prior to adoption, all of our animals are spayed/neutered, microchipped and given their age-appropriate vaccines.",https://new-s3.shelterluv.com/profile-pictures/b4f4e2112b3e53e8f7e9e4206748dbd7/9623cf297ce74cc8007311985888b187.jpeg,https://www.shelterluv.com/matchme/adopt/WEE-A-64538,Small (0-24),https://www.bideawee.org/adopt-pet/kirsten/211216687
Charlie,101 Months,Male,Chihuahua,"This little boy with the big smile is Charlie! Charlie never fails to greet us with a wagging tail, always happy to see his people friends. He's a petite cutie, perfectly sized to tag along with you wherever you go. After a day of adventure, he'll want nothing more than to cuddle up for snuggles. A total sweetheart, Charlie will make an amazing best friend. If this animal is located at our Manhattan Adoption Center, head in to meet them and see if you are a match! We are a same-day adoption center, and an application does not put you on a list or hold an animal for you. If they are in Wantagh or in a foster home, please submit an online application and our team will reach out to further discuss the adoption process. Prior to adoption, all of our animals are spayed/neutered, microchipped, and given their age-appropriate vaccines.",https://new-s3.shelterluv.com/profile-pictures/3654412de891e4b9a4efe1bd10a1855b/f8034fd7455514b9efd08ce8ecf97966.jpeg,https://www.shelterluv.com/matchme/adopt/WEE-A-64558,Small (0-24),https://www.bideawee.org/adopt-pet/charlie/211246374
Apple Jack,30 Months,Male,Mixed Breed (Small),"Apple Jack, or AJ for short, is a sweet and quirky pup who just needs a bit of time and patience to show his true personality. Once he feels safe, you'll discover a funny, curious companion with a soft spot for cheese and hard-boiled eggs. AJ is quiet (you’ll rarely hear him bark!) and gets along wonderfully with well-matched dogs. While he's still learning to trust people, and his confidence is growing every day! He’s wee wee pad trained, sleeps peacefully in his crate at night, and is doing a fantastic job learning to walk on a leash. AJ is a gentle soul looking for a calm, patient home where he can continue to blossom. If this animal is located at our Manhattan Adoption Center, head in to meet them and see if you are a match! We are a same-day adoption center, and an application does not put you on a list or hold an animal for you. If they are in Wantagh or in a foster home, please submit an online application and our team will reach out to further discuss the adoption process. Prior to adoption, all of our animals are spayed/neutered, microchipped, and given their age-appropriate vaccines.",https://new-s3.shelterluv.com/profile-pictures/4647c703285f1f2067afe01d14e82691/3bc3d77cf15472e5aa811d472ea4bc24.jpeg,https://www.shelterluv.com/matchme/adopt/WEE-A-64579,Small (0-24),https://www.bideawee.org/adopt-pet/apple jack/211332926
Iago,27 Months,Male,Mixed Breed (Small),"All the world’s a stage, and Iago is here to steal the scene—preferably with treats. This small breed fully grown adult dog only at 13lbs but mighty arrives ready to dazzle the audience (and his new family) with his quick wit and irresistible charm. While his Shakespearean namesake was known for mischief, our Iago uses his cleverness only for good… mostly.  Iago is a pint-sized scene-stealer who thrives on attention, playtime, and the occasional dramatic entrance. Whether he’s trotting proudly into the room or curling up in your lap after a standing ovation of belly rubs, he’s happiest when he’s part of the action. And in our little Shakespearean troupe, he’s the charismatic trickster who keeps everyone laughing. If you’re looking for a spirited sidekick with heart, humor, and a dash of drama, Iago is ready for his curtain call. Iago can be a bit reserved of hew people so we recommend him for an adult only household. He does warm up quickly once he earns your trust then you will have a new bestie for a lifetime. A home with another pooch would be great as he enjoys playing with his canine friends here at Bideawee.   This cutie resides at our Wantagh location and meetings are by appointment only. If you are interested in meeting them, you must click ""Apply for Adoption"" to submit an online application. If you're viewing this animal on Petfinder, please visit the animal's page on Bideawee.org and click on the ""Apply for Adoption"" button to submit an adoption application. Once we receive your application, we will be in touch to schedule an appointment to meet them! Prior to adoption, all of our animals are spayed/neutered, microchipped and given their age-appropriate vaccines.",https://new-s3.shelterluv.com/profile-pictures/e05ee4b15f17b171b311d26f01718def/1872a68bdf60959ed2035579dc453a07.jpeg,https://www.shelterluv.com/matchme/adopt/WEE-A-64705,Small (0-24),https://www.bideawee.org/adopt-pet/iago/211645548
Hershey Kiss,52 Months,Female,Mixed Breed (Large),"Hershey Kiss is the definition of a hidden gem. She’s so wonderful, but somehow keeps getting overlooked. It’s hard to understand why, because this girl is truly the best. Hershey is sweet, gentle, playful, and so full of joy. She greets her people friends with pure happiness, loves belly rubs, and gives the kind of cuddles that make every bad day disappear. She’s gentle but strong, silly but well-mannered, and always ready to make you smile. She also knows many commands and is house-trained! Hershey gets along with some dogs better than others and could make a wonderful sister to the right canine companion. She’s been waiting patiently for someone to see her for who she really is - a loving and loyal pup. Whoever adopts her is truly getting something special. Hershey Kiss is currently recovering from leg surgery and will need to follow a special recovery plan to help her heal properly. She’ll be placed in a foster-to-adopt arrangement, and our team will provide guidance and support throughout her recovery process. If this animal is located at our Manhattan Adoption Center, head in to meet them and see if you are a match! We are a same-day adoption center, and an application does not put you on a list or hold an animal for you. If they are in Wantagh or in a foster home, please submit an online application and our team will reach out to further discuss the adoption process. Prior to adoption, all of our animals are spayed/neutered, microchipped, and given their age-appropriate vaccines.",https://new-s3.shelterluv.com/profile-pictures/5f67f5f05a610fb25e6a16146bf4e1a3/e0c0821e142d2c50fe929d5f2fd6b649.jpeg,https://www.shelterluv.com/matchme/adopt/WEE-A-64745,Large (60-99),https://www.bideawee.org/adopt-pet/hershey kiss/211712601
Smore,15 Months,Male,Mixed Breed (Medium),"Meet Smore! Playful, energetic, and full of life, he’s happiest when he’s out and about, running, exploring, and spending time with his favorite humans. He also enjoys the company of other well-matched dogs who can keep up with him. Smore spent time in a foster home and loved being part of a family. Life in a kennel is hard for him, and he’s ready to have a home where he can stretch out, play, and feel loved every day. This sweet boy has so much joy to share and is ready to bring it to a home of his own.  If this animal is located at our Manhattan Adoption Center, head in to meet them and see if you are a match! We are a same-day adoption center, and an application does not put you on a list or hold an animal for you. If they are in Wantagh or in a foster home, please submit an online application and our team will reach out to further discuss the adoption process. Prior to adoption, all of our animals are spayed/neutered, microchipped, and given their age-appropriate vaccines.",https://new-s3.shelterluv.com/profile-pictures/1208493058d62d4e5ecc44402c4adcbe/6546149b571a471529f3d5d4ba2a3ad6.jpeg,https://www.shelterluv.com/matchme/adopt/WEE-A-64776,Medium (25-59),https://www.bideawee.org/adopt-pet/smore/211781959
Wrinkles,87 Months,Female,"Bulldog, American","Wrinkles is a goofy, lovable girl who’s always ready to make you smile. She’s silly, full of personality, and never turns down a good belly rub. Playful with her dog friends and sweet with everyone she meets, Wrinkles is a true bulldog lover’s dream and she’s sure to make her future family very happy. If this animal is located at our Manhattan Adoption Center, head in to meet them and see if you are a match! We are a same-day adoption center, and an application does not put you on a list or hold an animal for you. If they are in Wantagh or in a foster home, please submit an online application and our team will reach out to further discuss the adoption process. Prior to adoption, all of our animals are spayed/neutered, microchipped, and given their age-appropriate vaccines.",https://new-s3.shelterluv.com/profile-pictures/14394bd18443b2d41eeeb932253045d4/22045a8c0612b2ea8b8450137ee7aa2f.jpeg,https://www.shelterluv.com/matchme/adopt/WEE-A-64805,Medium (25-59),https://www.bideawee.org/adopt-pet/wrinkles/211826037
Cora,26 Months,Female,Mixed Breed (Medium),"This cutie resides at our Westhampton location Apply for Adoption&quot; to submit an online application. If you're viewing this animal on Petfinder, please visit the animal's page on Bideawee.org and click on the &quot;Apply for Adoption&quot; button to submit an adoption application. Once we receive your application, we will be in touch to schedule an appointment to meet them!",https://new-s3.shelterluv.com/profile-pictures/9ce5748da6d514dbd55a7b8c2b51c898/630f24a716cfd83d9a6e2c3ec1e0d820.jpg,https://www.shelterluv.com/matchme/adopt/WEE-A-16534,Medium (25-59),https://www.bideawee.org/adopt-pet/cora/82289461
